,EPI,Country,Region,Population,GDP,Health,Air Quality,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
46,82.5,Denmark,Global West,5831404,356084867686,91.7,85.5,78.8,100.0,43.1,97.4,100.0,95.7,100.0,100.0,99.8,99.8,76.4,81.7,85.9,85.9,100.0,34.9,93.4,100.0,44.5,30.2,26.2,72.7,60.6,13.2,5.1,30.2,2.8,95.0,100.0,100.0,100.0,69.7,100.0,61.9,82.8,31.8,100.0,100.0,100.0,73.0,73.0,100.0,100.0
99,82.3,Luxembourg,Global West,632275,73353132794,92.6,87.2,81.4,100.0,48.2,98.6,100.0,97.7,96.1,96.1,96.2,96.2,75.4,85.5,100.0,100.0,,64.6,,,48.5,34.3,30.7,100.0,,,,,,77.5,78.7,81.7,91.7,67.5,100.0,16.8,75.7,7.3,100.0,100.0,100.0,42.2,42.2,98.5,98.5
29,81.5,Switzerland,Global West,8636896,752248045730,95.0,90.6,87.8,100.0,46.4,100.0,100.0,100.0,95.0,95.0,99.0,99.0,72.5,63.0,44.7,53.3,,69.6,85.8,100.0,52.9,46.4,46.1,65.6,31.6,,,,,81.6,76.0,100.0,93.1,91.9,100.0,71.8,62.0,41.5,100.0,100.0,100.0,47.6,47.6,96.7,96.7
59,81.3,United Kingdom,Global West,67215293,2764197653965,91.7,84.7,75.4,100.0,64.5,100.0,100.0,100.0,94.6,94.6,92.9,92.9,74.3,88.0,98.4,97.9,100.0,50.7,92.1,100.0,44.7,28.3,24.0,72.8,60.6,8.8,13.1,,3.7,90.0,92.6,100.0,96.9,73.0,100.0,35.5,79.3,35.1,100.0,100.0,100.0,54.3,54.3,98.5,98.5
56,80.0,France,Global West,67391582,2630317731455,91.5,88.1,82.2,100.0,58.0,96.2,100.0,93.6,84.0,84.0,94.8,94.8,72.3,88.3,100.0,100.0,100.0,50.2,88.6,100.0,43.8,36.1,33.6,70.6,45.0,12.1,14.4,,9.4,81.9,79.5,100.0,93.9,69.5,100.0,61.3,56.7,36.7,100.0,100.0,100.0,65.2,65.2,88.0,88.0
8,79.6,Austria,Global West,8917205,433258467677,88.0,81.3,73.9,96.4,42.2,94.7,86.7,100.0,91.7,91.7,97.2,97.2,74.0,85.5,100.0,100.0,,63.7,84.7,81.2,54.7,35.6,32.5,69.9,57.3,,,,,71.3,62.8,100.0,87.8,66.9,100.0,76.7,42.7,23.0,100.0,100.0,100.0,68.0,68.0,94.0,94.0
54,78.9,Finland,Global West,5530719,269751312854,99.3,98.8,100.0,100.0,75.3,100.0,100.0,100.0,100.0,100.0,97.7,97.7,65.3,75.5,72.8,72.8,100.0,26.4,61.6,99.6,75.8,20.8,18.4,49.0,35.0,12.8,22.9,12.0,2.1,77.0,74.3,100.0,93.3,63.8,75.1,64.5,56.1,18.7,93.1,100.0,86.2,52.4,52.4,100.0,100.0
151,78.7,Sweden,Global West,10353442,541220059459,98.4,98.2,100.0,100.0,64.7,98.5,99.7,97.7,98.0,98.0,99.8,99.8,65.6,72.5,61.7,63.7,100.0,33.2,69.8,99.3,71.6,22.4,19.8,44.4,47.1,11.6,5.9,24.2,3.6,77.2,68.6,100.0,98.2,76.7,100.0,57.3,68.4,37.0,100.0,100.0,100.0,63.6,63.6,100.0,100.0
123,77.7,Norway,Global West,5379475,362522347110,98.5,97.9,100.0,100.0,58.7,100.0,100.0,100.0,94.0,94.0,97.6,97.6,63.8,71.5,81.6,83.0,43.8,47.7,92.7,86.7,71.3,32.1,30.5,56.0,38.0,9.8,11.9,,7.3,78.9,72.5,100.0,100.0,79.0,100.0,54.7,67.9,13.3,99.2,100.0,98.4,39.3,39.3,64.3,64.3
43,77.2,Germany,Global West,83240525,3846413928654,89.6,81.1,70.4,100.0,46.4,99.0,100.0,98.4,90.7,90.7,97.9,97.9,68.9,88.8,100.0,100.0,100.0,56.4,86.1,99.9,45.6,39.7,38.2,65.4,40.2,14.0,4.9,34.5,0.9,71.5,60.6,100.0,94.6,82.4,92.1,69.1,52.2,23.2,96.0,91.9,100.0,61.9,61.9,97.0,97.0
