Country,EPI,Health,Air,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
Afghanistan,25.5,20.0,17.7,25.4,7.3,16.9,28.0,28.5,27.7,0.0,0.0,0.0,0.0,29.2,21.9,0.6,1.3,,5.0,90.7,18.0,57.7,93.6,95.0,60.9,100.0,,,,,22.2,0.0,66.1,,34.1,15.7,100.0,50.6,100.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0
Albania,49.0,44.5,41.2,44.2,34.6,60.1,54.0,59.7,50.2,46.1,46.1,0.0,0.0,52.0,68.2,100.0,100.0,14.7,38.6,82.1,92.2,39.6,43.2,41.1,70.2,54.4,8.9,,16.2,0.4,56.8,41.2,79.2,89.4,61.9,100.0,78.4,36.4,58.3,100.0,100.0,100.0,37.6,37.6,2.7,2.7
Algeria,44.8,50.4,45.3,21.9,78.9,33.2,53.2,59.6,49.0,38.9,38.9,91.6,91.6,41.0,39.0,43.2,45.9,0.6,7.1,80.7,47.3,75.4,24.0,17.3,69.2,100.0,8.1,1.9,14.3,,52.5,36.6,100.0,90.7,28.4,61.0,28.7,41.0,44.6,61.7,100.0,23.5,44.8,44.8,33.1,33.1
Angola,29.7,20.4,26.8,32.6,17.8,34.4,12.8,14.1,11.9,37.3,37.3,0.0,0.0,35.9,39.3,34.1,36.6,0.0,29.8,88.3,66.6,67.2,33.7,31.2,49.3,63.5,14.7,16.9,21.3,4.4,49.0,30.3,100.0,89.3,63.2,7.1,27.2,53.9,60.3,2.6,5.2,0.0,29.3,29.3,0.0,0.0
Antigua and Barbuda,48.5,55.5,57.5,44.6,69.8,100.0,50.0,57.5,45.0,60.5,60.5,75.1,75.1,43.8,55.7,90.3,87.3,1.2,53.8,,,34.0,38.8,35.4,39.8,100.0,5.0,1.4,8.6,,58.5,48.4,100.0,89.8,77.8,0.0,79.7,22.0,35.2,36.6,28.2,45.0,5.1,5.1,1.3,1.3
Argentina,52.2,60.2,56.9,54.7,60.9,48.7,64.7,72.7,59.3,73.1,73.1,44.6,44.6,46.8,49.1,41.7,56.7,43.0,16.2,69.4,64.3,58.9,29.4,27.6,47.3,44.5,3.2,0.7,6.2,2.6,60.2,48.2,88.1,90.7,58.0,90.3,57.8,36.2,29.8,59.3,67.3,51.3,78.4,78.4,5.9,5.9
Armenia,52.3,43.5,36.3,22.1,57.0,26.1,57.2,50.7,61.5,50.8,50.8,0.0,0.0,58.1,79.2,100.0,100.0,,19.0,92.4,74.5,48.0,81.5,82.4,45.8,100.0,,,,,46.7,39.3,54.7,89.4,0.0,57.6,97.3,23.0,60.3,46.8,50.6,43.0,57.6,57.6,8.8,8.8
Australia,74.9,91.6,98.2,100.0,98.8,73.8,87.0,96.0,81.0,77.2,77.2,77.3,77.3,63.8,83.7,89.0,82.5,100.0,40.4,87.3,92.4,73.4,27.9,24.5,44.0,72.9,3.4,0.7,,6.5,70.4,66.7,85.8,90.9,70.1,56.9,89.3,62.5,0.0,90.3,92.4,88.2,49.2,49.2,92.7,92.7
Austria,79.6,88.0,81.3,73.9,96.4,42.2,94.7,86.7,100.0,91.7,91.7,97.2,97.2,74.0,85.5,100.0,100.0,,63.7,84.7,81.2,54.7,35.6,32.5,69.9,57.3,,,,,71.3,62.8,100.0,87.8,66.9,100.0,76.7,42.7,23.0,100.0,100.0,100.0,68.0,68.0,94.0,94.0
Azerbaijan,46.5,32.7,24.9,12.7,40.7,33.1,45.5,44.3,46.4,41.0,41.0,0.0,0.0,55.7,56.9,50.7,62.2,,11.7,96.0,77.3,44.4,80.5,80.2,65.2,100.0,,,,,48.6,42.4,43.8,88.9,60.9,37.4,100.0,27.7,40.3,100.0,100.0,100.0,64.3,64.3,3.8,3.8
Bahamas,43.5,53.1,55.6,46.0,67.5,66.6,55.0,65.8,47.7,67.1,67.1,0.0,0.0,37.0,78.8,100.0,100.0,71.3,51.7,99.4,32.5,62.3,31.6,25.4,98.0,76.1,9.9,9.4,10.4,,28.7,24.1,56.9,,44.0,0.0,42.9,0.0,29.9,18.0,18.7,17.4,14.0,14.0,1.4,1.4
Bahrain,51.0,49.2,41.2,16.5,77.4,23.1,56.6,66.6,49.9,58.7,58.7,60.4,60.4,52.2,18.9,14.7,14.7,10.3,2.0,,,69.7,100.0,,,100.0,0.0,,0.0,,67.1,73.0,27.1,95.7,56.1,100.0,,77.0,0.0,93.1,95.1,91.1,33.2,33.2,86.9,86.9
Bangladesh,29.0,22.4,20.2,24.2,16.0,9.2,27.3,28.0,26.8,23.2,23.2,5.0,5.0,33.5,46.8,18.2,88.9,29.9,4.7,92.7,52.2,44.7,22.8,20.3,47.3,44.5,19.6,34.5,12.1,11.0,35.6,19.7,65.0,,56.6,51.0,29.1,62.2,89.7,15.3,4.8,25.7,49.9,49.9,0.0,0.0
Barbados,45.6,60.7,66.0,40.7,96.5,100.0,51.9,58.3,47.6,70.4,70.4,67.2,67.2,35.6,12.6,2.8,2.8,0.1,50.4,,,39.2,37.1,39.5,21.9,9.6,18.4,3.8,32.9,,59.1,64.3,63.0,,67.9,8.2,35.3,49.6,45.7,53.3,29.2,77.3,11.9,11.9,1.1,1.1
Belarus,53.0,55.9,49.9,34.1,70.6,58.6,60.5,60.3,60.6,57.7,57.7,77.5,77.5,51.1,61.2,54.1,54.1,,27.5,91.3,99.2,55.1,27.9,24.1,68.8,54.9,,,,,53.1,57.7,54.8,89.6,0.0,15.7,62.6,26.4,19.0,80.4,100.0,60.8,45.9,45.9,7.2,7.2
Belgium,73.3,86.0,80.7,69.8,100.0,45.7,93.6,94.6,92.9,67.4,67.4,97.6,97.6,64.8,87.4,100.0,100.0,100.0,56.2,74.4,100.0,43.8,32.5,29.0,73.7,53.9,9.0,,16.5,0.1,70.2,57.9,100.0,93.6,100.0,100.0,44.5,47.1,19.6,100.0,100.0,100.0,47.3,47.3,67.9,67.9
Belize,41.9,40.3,39.4,40.2,37.1,48.6,42.6,47.4,39.5,54.5,54.5,17.0,17.0,43.0,87.9,99.3,96.6,100.0,98.6,35.9,95.2,57.2,23.5,21.4,39.4,44.2,19.8,,19.8,,37.7,41.6,46.5,,0.0,11.1,42.9,17.7,63.2,11.4,22.7,0.0,19.9,19.9,0.6,0.6
Benin,30.0,20.3,25.6,37.5,9.0,27.1,13.4,13.3,13.5,36.8,36.8,5.8,5.8,36.4,67.0,100.0,100.0,0.0,46.0,86.4,87.6,50.2,24.4,20.4,20.8,100.0,11.7,,11.7,,30.7,23.4,44.5,,44.4,11.9,50.4,37.2,85.7,33.4,43.5,23.3,42.7,42.7,0.0,0.0
Bhutan,39.3,29.8,24.4,30.6,18.6,2.1,31.2,30.8,31.4,43.3,43.3,59.7,59.7,45.7,87.2,100.0,100.0,,50.7,96.6,98.3,52.3,60.2,56.4,88.1,100.0,,,,,24.7,0.0,80.0,,74.4,39.8,31.9,44.5,61.1,18.2,31.7,4.7,50.2,50.2,0.0,0.0
Bolivia,44.3,35.9,32.4,34.5,28.4,39.8,40.0,42.5,38.3,43.7,43.7,31.1,31.1,49.8,83.6,97.1,96.7,,50.5,75.0,90.3,65.8,30.0,28.2,47.6,43.6,,,,,40.0,29.6,48.6,91.3,56.5,2.7,58.2,45.2,26.3,26.4,38.1,14.6,68.9,68.9,3.5,3.5
Bosnia and Herzegovina,45.4,43.9,31.6,29.3,33.5,40.8,61.4,67.8,57.1,42.9,42.9,27.9,27.9,46.4,32.9,8.1,13.0,,41.8,88.3,41.5,49.0,53.4,54.3,47.3,43.0,,,,,57.5,52.9,69.5,90.6,24.8,75.7,62.6,32.8,28.6,78.1,64.8,91.3,25.1,25.1,1.1,1.1
Botswana,40.4,20.2,19.7,17.8,20.8,31.4,20.8,21.9,20.1,39.8,39.8,0.7,0.7,53.8,91.6,100.0,100.0,,70.7,96.0,93.4,72.5,66.1,68.9,49.5,34.0,,,,,37.9,10.7,100.0,,100.0,6.6,84.6,100.0,30.5,70.0,95.8,44.2,4.8,4.8,1.0,1.0
